cod_prod_lj;cod_loja;cod_produto;ref_varejista;dia;semana;mes;decr_mes;trimestre;ano;periodo;periodo2;valor;quantidade;indicador3
;7107;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;75.31;10;
;7107;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;37.58;2;
;7109;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;58.98;2;
;7109;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;76.89;11;
;7109;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;146.05;8;
;7109;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;26.99;1;
;7109;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;105.02;13;
;7109;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;70.74;10;
;7109;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;134.93;7;
;71010;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;126.76;6;
;71010;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;44.98;2;
;71010;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;178.8;8;
;71010;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;230.92;8;
;71010;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;148.62;18;
;71010;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;278.07;16;
;71010;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;104.37;4;
;71010;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;136.45;5;
;71010;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;258.81;33;
;71010;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;156.93;21;
;71010;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;72.58;4;
;71011;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;132.44;6;
;71011;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;154.07;7;
;71011;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;229.42;8;
;71011;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;404.53;47;
;71011;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;274.81;16;
;71011;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;53.98;2;
;71011;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;52.98;2;
;71011;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;297.38;35;
;71011;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;162.7;21;
;71011;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;86.39;5;
;71012;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;109.85;5;
;71012;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;88.9;4;
;71012;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;67.47;3;
;71012;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;379.87;13;
;71012;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;309.39;41;
;71012;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;268.67;15;
;71012;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;78.88;3;
;71012;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;83.97;3;
;71012;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;503.85;68;
;71012;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;432.61;54;
;71012;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;243.69;13;
;71014;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;21.37;1;
;71014;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;28.49;1;
;71014;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;34.98;2;
